id,name,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,year,rating
0758758,Into the Wild,5919,2494,3264,5357,11617,27768,74939,136836,123537,104819,2007,8.1
3011894,Wild Tales,889,365,511,854,2115,6052,21959,46006,34620,20966,2014,8.1
0079470,Life of Brian,3517,1497,1918,3378,7589,18662,50848,91118,73063,61518,1979,8.1
0060107,Andrei Rublev,1230,375,408,585,1057,1669,4457,7464,6012,11490,1966,8.2
0025316,It Happened One Night,1503,509,554,846,2059,4446,13201,23604,16847,16014,1934,8.1
0091763,Platoon,2570,1105,1457,2584,6147,17304,56984,116741,79337,49436,1986,8.1
0405508,Rang De Basanti,3267,775,667,919,1675,3132,8209,17799,23969,32494,2006,8.3
0107207,In the Name of the Father,1030,387,530,905,2072,5880,21979,47906,32842,19245,1993,8.1
0092005,Stand by Me,1928,763,1017,1981,5491,16758,55508,104189,69386,58714,1986,8.1
0074958,Network,1878,505,703,1320,3083,7729,21071,35623,26645,24550,1976,8.1
2278388,The Grand Budapest Hotel,4244,2419,3435,5951,13049,34159,96036,184019,152747,91587,2014,8.1
0395169,Hotel Rwanda,3316,883,1041,1775,4460,13525,50025,103746,75228,46015,2004,8.1
0107290,Jurassic Park,3662,2378,3774,6793,16250,43858,131185,237615,150197,128449,1993,8.1
0019254,The Passion of Joan of Arc,1674,442,517,673,1233,2006,4983,8341,6282,10654,1928,8.2
0079944,Stalker,2464,998,1230,1661,2937,4991,11035,18501,17354,27767,1979,8.1
0052618,Ben-Hur,2395,1114,1393,2260,5133,11863,31426,55499,39743,39714,1959,8.1
0046268,The Wages of Fear,1977,378,343,470,1164,2117,6764,12923,10148,8696,1953,8.2
1979320,Rush,1643,697,900,1788,4846,16399,63092,129508,95357,56085,2013,8.1
1856101,Blade Runner 2049,5054,2412,3125,4536,9248,19649,43446,74694,75078,58411,2017,8.1
0060827,Persona,1916,646,830,1222,2493,5244,11332,19549,15912,19865,1966,8.1
0120382,The Truman Show,3866,2143,3392,6137,15212,44176,139875,270177,179793,116538,1998,8.1
0353969,Memories of Murder,1143,330,422,730,1730,4444,15080,29987,21869,14418,2003,8.1
2024544,12 Years a Slave,5024,1974,2625,4343,10405,29360,90833,176905,135550,80402,2013,8.1
0405159,Million Dollar Baby,6074,2277,3139,5520,11871,31208,93365,181577,133996,86575,2004,8.1
1392190,Mad Max: Fury Road,11203,5394,7372,11002,21503,47220,108982,183177,172038,145969,2015,8.1
0053198,The 400 Blows,2346,540,620,1003,2196,5059,13522,24322,18016,18388,1959,8.1
1895587,Spotlight,1596,634,884,1663,4894,15905,58419,117952,82263,40134,2015,8.1
3315342,Logan,3461,1635,2364,4110,9730,27852,76313,130642,117952,108531,2017,8.1
0112471,Before Sunrise,2354,1075,1322,2416,5305,12584,35443,67079,49400,44444,1995,8.1
0245712,Amores Perros,2935,934,967,1598,3679,9771,31295,65913,50340,30556,2000,8.1
1028532,Hachi: A Dog's Tale,1782,779,1061,1748,4441,11428,30926,54108,42919,55186,2009,8.1
5463162,Deadpool 2,997,247,323,599,1666,5644,17163,30237,25031,25452,2018,8.2
0064115,Butch Cassidy and the Sundance Kid,1365,691,868,1486,3763,10251,31347,58033,40305,28877,1969,8.1
1392214,Prisoners,2131,985,1503,2759,7056,22492,84863,178698,121462,63039,2013,8.1
0093779,The Princess Bride,4435,1667,2474,3902,8661,20545,51145,83436,71746,89571,1987,8.1
0087544,Nausicaä of the Valley of the Wind,1817,593,663,1053,2482,6231,19176,35476,27186,24275,1984,8.1
0264464,Catch Me If You Can,1790,1112,1721,3251,9450,31256,119043,251791,148984,88543,2002,8.1
1201607,Harry Potter and the Deathly Hallows: Part 2,9287,2713,3662,6159,14935,37873,103067,174117,134148,158194,2011,8.1
3783958,La La Land,8772,3476,4148,5944,11762,25033,54728,86645,86685,86554,2016,8.1
0075148,Rocky,3366,1454,2085,3524,9219,25353,79824,144191,90340,82891,1976,8.1
0033870,The Maltese Falcon,1854,678,955,1563,3622,8987,23570,39028,28158,24855,1941,8.1
0032551,The Grapes of Wrath,1508,518,730,1128,2377,4801,12817,22777,15515,14414,1940,8.1
1280558,A Wednesday,1547,412,413,599,1023,2123,6304,14190,18076,18022,2008,8.2
0072684,Barry Lyndon,2414,684,984,1654,3501,7807,19989,33388,24760,27553,1975,8.1
0198781,Monsters  Inc.,3185,1623,2351,4502,12135,38842,129262,243941,144273,108354,2001,8.1
0050783,The Nights of Cabiria,1158,391,392,511,990,1841,5280,10605,7185,7512,1957,8.1
0246578,Donnie Darko,9878,4408,5776,8979,17720,41242,100346,175647,153582,146451,2001,8.1
0046911,Diabolique,1428,353,428,595,1409,2787,8804,16886,11761,8339,1955,8.1
0083987,Gandhi,3178,815,1071,1797,4268,11074,33567,63632,43495,35082,1982,8.1
0070510,Paper Moon,232,104,136,202,695,1697,6285,11742,6800,5786,1973,8.1
0088247,The Terminator,3785,1982,2935,5506,14108,41905,134904,241563,140165,100949,1984,8.0
0113247,La Haine,2142,569,693,1110,2553,6179,19845,39297,29781,22073,1995,8.1
0052311,Touch of Evil,1678,575,893,1238,2700,5753,14493,24010,18339,16690,1958,8.1
0107048,Groundhog Day,3181,1646,2578,4711,11484,32853,100161,165427,106275,82399,1993,8.0
0032138,The Wizard of Oz,4647,2009,2759,4589,10730,24771,59166,87421,60213,77062,1939,8.0
0097165,Dead Poets Society,1965,1198,1816,3316,7407,18998,56196,107720,73067,61264,1989,8.1
0440963,The Bourne Ultimatum,4150,1602,2181,3834,9749,29508,99873,192617,127165,88834,2007,8.0
0073195,Jaws,4499,2057,3134,5597,13474,35111,94035,142240,90686,88863,1975,8.0
0118694,In the Mood for Love,1725,615,797,1335,2612,5838,14868,25905,20935,21760,2000,8.1
0075686,Annie Hall,4149,1642,2063,3050,6501,14859,37821,63003,48874,44980,1977,8.0
1454029,The Help,3094,1035,1393,2585,6404,18383,61744,124752,87034,64029,2011,8.1
0056801,8½,2351,1049,1346,1828,3438,5985,12682,21532,17398,26559,1963,8.1
0087884,Paris  Texas,723,310,490,884,1846,4103,11117,20029,13809,13257,1984,8.1
2015381,Guardians of the Galaxy,8144,3408,5058,8880,19749,52573,139589,240239,200197,167020,2014,8.1
0381681,Before Sunset,3368,1128,1363,2221,4763,11625,31340,57547,40911,39122,2004,8.1
0338564,Infernal Affairs,2701,486,522,773,2050,5095,17114,33829,25368,19652,2002,8.1
0114746,Twelve Monkeys,3966,2048,2991,5378,12012,32034,93709,174729,122428,72321,1995,8.0
0325980,Pirates of the Caribbean: The Curse of the Black Pearl,8608,3226,4763,8297,19561,52414,157334,301553,190826,170969,2003,8.0
2338151,PK,5800,1018,971,1245,2341,5111,12861,23556,28007,41004,2014,8.2
2758880,Winter Sleep,750,181,239,372,761,1599,3804,6943,7146,10205,2014,8.2
0036868,The Best Years of Our Lives,1432,354,433,652,1436,2934,8150,13891,9526,11389,1946,8.1
